id,sentence,polarity
https://openreview.net/forum?id=r1rhWnZkg,"Summary: The paper presents low-rank bilinear pooling that uses Hadamard product (commonly known as element-wise multiplication). The paper implements low-rank bilinear pooling on an existing model (Kim et al., 2016b) and builds a model for Visual Question Answering (VQA) that outperforms the current state-of-art by 0.42%. The paper presents various ablation studies of the new VQA model they built.",1
https://openreview.net/forum?id=r1rhWnZkg,Strengths:,1
https://openreview.net/forum?id=r1rhWnZkg,"1. The paper presents new insights into element-wise multiplication operation which has been previously used in VQA literature (such as Antol et al., ICCV 2015) without insights on why it should work.",0
https://openreview.net/forum?id=r1rhWnZkg,"2. The paper presents a new model for the task of VQA that beats the current state-of-art by 0.42%. However, I have concerns about the statistical significance of the performance (see weaknesses below).",0
https://openreview.net/forum?id=r1rhWnZkg,3. The various design choices made in model development have been experimentally verified.,1
https://openreview.net/forum?id=r1rhWnZkg,Weaknesses/Suggestions:,0
https://openreview.net/forum?id=r1rhWnZkg,"1. When authors explicitly (keeping rest of the model architecture same) compared low-rank bilinear pooling with compact bilinear pooling, they found that low-rank bilinear pooling performs worse. Hence, it could not be experimentally verified that low-rank bilinear pooling is better in performance than compact bilinear pooling (at least for the task of VQA).",0
https://openreview.net/forum?id=r1rhWnZkg,"2. The authors argue that low-rank bilinear pooling uses 25% less parameters than compact bilinear pooling. So, could the authors please explain how does the reduction in number of parameters help experimentally? Does the training time of the model reduce significantly? Can we train the model with less data?",0
https://openreview.net/forum?id=r1rhWnZkg,"3. One of the contributions of the paper is that the proposed model outperforms the current state-of-art on VQA by 0.42%. However, I am skeptical that the performance of the proposed model is statistically significantly better than the current state-of-art.",0
https://openreview.net/forum?id=r1rhWnZkg,"4. I would like the authors to explicitly mention the differences between MRN, MARN and MLB. It is not very clear from reading the paper.",0
https://openreview.net/forum?id=r1rhWnZkg,"5. In the caption for Table 1, fix the following: “have not” -> “have no”",0
https://openreview.net/forum?id=r1rhWnZkg,Review Summary: I like the insights about low-rank bilinear pooling using Hadamard product (element-wise multiplication) presented in the paper.,1
